data,hora,taxa
2026/05/19,21:29:45,14.171027228545729
2026/05/19,21:29:46,14.433626999851121
2026/05/19,21:29:47,14.81122753089605
2026/05/19,21:29:48,14.617621043024254
2026/05/19,21:29:49,14.552090378371501
2026/05/19,21:29:50,13.957060062100092
2026/05/19,21:29:51,14.833790843436995
2026/05/19,21:29:52,14.480429920160589
2026/05/19,21:29:53,14.688421443369013
2026/05/19,21:29:54,14.825116932734671
2026/05/19,21:31:32,14.76203839462235
2026/05/19,21:31:33,14.689411652946163
2026/05/19,21:31:34,14.319426730519645
2026/05/19,21:31:35,14.72503547720573
2026/05/19,21:31:36,14.705529189143752
2026/05/19,21:31:37,14.87140182662814
2026/05/19,21:31:38,14.295806505009486
2026/05/19,21:31:39,14.815928901102547
2026/05/19,21:31:40,14.035026549696035
2026/05/19,21:31:41,14.063469135165695
